policy,primary_age_tier,primary_gender,marital,residence_location,aoi_tier,exposure,num_claims,amt_claims
P06223,21 - 27,Male,Married,Urban,601K - 1M,1,1,789.53
G03822,28 - 37,Male,Un-Married,Urban,601K - 1M,1,2,"7,792.10"
A00017,38 - 60,Male,Married,Urban,601K - 1M,0.4,0,0.00
P06657,28 - 37,Female,Married,Urban,351K - 600K,1,0,0.00
Z08320,38 - 60,Female,Married,Suburban,< 100K,1,2,"4,410.62"
G04785,28 - 37,Female,Un-Married,Suburban,601K - 1M,1,3,"13,367.68"
G03482,21 - 27,Female,Married,Urban,601K - 1M,1,1,631.50
Z07567,< 21,Male,Un-Married,Rural,601K - 1M,0.61,2,"8,566.77"
A01144,< 21,Female,Married,Suburban,100K - 350K,1,1,530.43
P05317,< 21,Male,Un-Married,Suburban,100K - 350K,1,2,"5,960.70"
Z09823,28 - 37,Female,Un-Married,Rural,601K - 1M,1,0,0.00
P05518,28 - 37,Male,Married,Urban,351K - 600K,1,1,"4,242.35"
Z08374,> 60,Female,Not Married,Urban,351K - 600K,1,3,"2,123.30"
A02202,38 - 60,Female,Not Married,Suburban,100K - 350K,1,3,"18,873.89"
P06168,21 - 27,Female,Not Married,Suburban,100K - 350K,1,1,"2,017.71"
P06790,28 - 37,Female,Un-Married,Urban,351K - 600K,1,1,"2,833.02"
Z08755,28 - 37,Female,Married,Rural,100K - 350K,1,0,0.00
A01342,21 - 27,Male,Married,Urban,100K - 350K,1,2,"4,882.40"
P07445,< 21,Female,Married,Suburban,601K - 1M,1,1,"2,207.46"
G04636,21 - 27,Female,Not Married,Urban,100K - 350K,1,1,"9,983.59"
Z08620,21 - 27,Male,Un-Married,Urban,100K - 350K,0.57,2,"8,425.99"
P07111,21 - 27,Male,Married,Urban,351K - 600K,1,2,"10,266.28"
P06092,28 - 37,Female,Un-Married,Suburban,351K - 600K,1,2,"8,668.03"
Z09764,38 - 60,Male,Un-Married,Suburban,100K - 350K,0.97,4,"1,298.89"
P06704,21 - 27,Male,Un-Married,Urban,100K - 350K,1,1,"4,306.13"
A00631,38 - 60,Female,Married,Urban,351K - 600K,1,0,0.00
Z08705,28 - 37,Female,Un-Married,Suburban,351K - 600K,1,2,"8,188.21"
G03803,38 - 60,Female,Un-Married,Urban,100K - 350K,1,0,0.00
P05398,38 - 60,Female,Married,Urban,< 100K,1,1,"7,823.28"
P05068,38 - 60,Female,Married,Rural,351K - 600K,0.45,0,0.00
Z09098,28 - 37,Female,Married,Suburban,100K - 350K,1,0,0.00
G03432,28 - 37,Female,Married,Urban,601K - 1M,1,2,"4,493.39"
P06523,> 60,Female,Not Married,Urban,351K - 600K,1,3,"21,922.35"
