,MSTATUS,TRAVTIME,TIF,CAR_TYPE,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,CLM_COUNT,EXPOSURE
0,No,14,11,Minivan,No,3,18.0,Highly Urban/ Urban,0,0.189
1,No,22,1,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
2,No,26,1,Van,No,2,10.0,Highly Urban/ Urban,0,1.0
3,Yes,5,4,SUV,No,3,10.0,Highly Urban/ Urban,0,0.828
4,Yes,32,7,Minivan,No,0,6.0,Highly Urban/ Urban,0,0.729
5,Yes,36,1,SUV,Yes,3,17.0,Highly Urban/ Urban,0,0.342
6,No,46,1,Sports Car,No,0,7.0,Highly Urban/ Urban,3,1.0
7,Yes,33,1,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
8,No,21,6,Minivan,No,2,1.0,Highly Urban/ Urban,2,0.396
9,No,30,10,SUV,No,0,10.0,Highly Rural/ Rural,0,1.0
10,Yes,44,1,Van,Yes,10,7.0,Highly Urban/ Urban,2,1.0
11,No,34,1,SUV,No,0,1.0,Highly Urban/ Urban,5,0.576
12,No,48,7,Van,No,1,17.0,Highly Rural/ Rural,0,1.0
13,No,15,1,Sports Car,No,0,11.0,Highly Urban/ Urban,3,0.291
14,Yes,36,7,Minivan,No,0,1.0,Highly Rural/ Rural,0,1.0
15,Yes,25,7,Van,Yes,3,9.0,Highly Urban/ Urban,0,1.0
16,No,64,6,Panel Truck,No,3,10.0,Highly Urban/ Urban,3,0.282
17,No,74,6,Pickup,Yes,0,4.0,Highly Rural/ Rural,0,1.0
18,Yes,48,1,SUV,No,3,5.0,Highly Urban/ Urban,1,1.0
19,No,43,6,SUV,No,0,13.0,Highly Rural/ Rural,0,1.0
20,No,45,1,Minivan,No,4,1.0,Highly Urban/ Urban,2,0.261
21,Yes,42,6,Minivan,No,0,16.0,Highly Urban/ Urban,0,0.543
22,Yes,27,7,SUV,No,0,20.0,Highly Urban/ Urban,0,1.0
23,Yes,48,4,Minivan,No,0,7.0,Highly Urban/ Urban,0,1.0
24,Yes,29,6,SUV,No,0,1.0,Highly Urban/ Urban,3,1.0
25,Yes,52,1,Panel Truck,No,3,1.0,Highly Urban/ Urban,5,0.279
26,Yes,36,6,SUV,No,5,14.0,Highly Urban/ Urban,0,0.747
27,No,29,10,Minivan,No,1,5.0,Highly Urban/ Urban,0,1.0
28,Yes,8,6,SUV,No,0,11.0,Highly Urban/ Urban,0,1.0
29,Yes,7,1,Panel Truck,No,2,12.0,Highly Urban/ Urban,0,1.0
30,Yes,16,1,Sports Car,No,0,1.0,Highly Urban/ Urban,2,1.0
31,Yes,27,9,SUV,No,2,15.0,Highly Rural/ Rural,0,1.0
32,Yes,26,1,SUV,No,0,1.0,Highly Urban/ Urban,2,1.0
33,Yes,16,17,Minivan,No,0,12.0,Highly Urban/ Urban,0,1.0
34,No,26,6,SUV,No,3,12.0,Highly Urban/ Urban,0,1.0
35,Yes,15,6,SUV,Yes,4,12.0,Highly Rural/ Rural,0,1.0
36,Yes,27,4,Panel Truck,No,5,,Highly Urban/ Urban,4,0.819
37,Yes,30,1,Minivan,No,1,1.0,Highly Urban/ Urban,0,1.0
38,No,5,4,Minivan,No,0,9.0,Highly Rural/ Rural,0,1.0
39,Yes,37,4,SUV,No,1,10.0,Highly Urban/ Urban,0,1.0
