,target,MSTATUS,CAR_TYPE,REVOKED,URBANICITY,CAR_AGE,MVR_PTS,TIF,TRAVTIME,CLM_COUNT,EXPOSURE
0,0,No,Minivan,No,Highly Urban/ Urban,18.0,3,11,14,0,0.189
1,0,No,Minivan,No,Highly Urban/ Urban,1.0,0,1,22,0,1.0
2,0,No,Van,No,Highly Urban/ Urban,10.0,2,1,26,0,1.0
3,0,Yes,SUV,No,Highly Urban/ Urban,10.0,3,4,5,0,0.828
4,0,Yes,Minivan,No,Highly Urban/ Urban,6.0,0,7,32,0,0.729
5,0,Yes,SUV,Yes,Highly Urban/ Urban,17.0,3,1,36,0,0.342
6,1,No,Sports Car,No,Highly Urban/ Urban,7.0,0,1,46,3,1.0
7,0,Yes,SUV,No,Highly Urban/ Urban,1.0,0,1,33,0,1.0
8,1,No,Minivan,No,Highly Urban/ Urban,1.0,2,6,21,2,0.396
9,0,No,SUV,No,Highly Rural/ Rural,10.0,0,10,30,0,1.0
10,1,Yes,Van,Yes,Highly Urban/ Urban,7.0,10,1,44,2,1.0
11,1,No,SUV,No,Highly Urban/ Urban,1.0,0,1,34,5,0.576
12,0,No,Van,No,Highly Rural/ Rural,17.0,1,7,48,0,1.0
13,1,No,Sports Car,No,Highly Urban/ Urban,11.0,0,1,15,3,0.291
14,0,Yes,Minivan,No,Highly Rural/ Rural,1.0,0,7,36,0,1.0
15,0,Yes,Van,Yes,Highly Urban/ Urban,9.0,3,7,25,0,1.0
16,1,No,Panel Truck,No,Highly Urban/ Urban,10.0,3,6,64,3,0.282
17,0,No,Pickup,Yes,Highly Rural/ Rural,4.0,0,6,74,0,1.0
18,0,Yes,SUV,No,Highly Urban/ Urban,5.0,3,1,48,1,1.0
19,0,No,SUV,No,Highly Rural/ Rural,13.0,0,6,43,0,1.0
20,1,No,Minivan,No,Highly Urban/ Urban,1.0,4,1,45,2,0.261
21,0,Yes,Minivan,No,Highly Urban/ Urban,16.0,0,6,42,0,0.543
22,0,Yes,SUV,No,Highly Urban/ Urban,20.0,0,7,27,0,1.0
23,0,Yes,Minivan,No,Highly Urban/ Urban,7.0,0,4,48,0,1.0
24,1,Yes,SUV,No,Highly Urban/ Urban,1.0,0,6,29,3,1.0
25,1,Yes,Panel Truck,No,Highly Urban/ Urban,1.0,3,1,52,5,0.279
26,0,Yes,SUV,No,Highly Urban/ Urban,14.0,5,6,36,0,0.747
27,0,No,Minivan,No,Highly Urban/ Urban,5.0,1,10,29,0,1.0
28,0,Yes,SUV,No,Highly Urban/ Urban,11.0,0,6,8,0,1.0
29,0,Yes,Panel Truck,No,Highly Urban/ Urban,12.0,2,1,7,0,1.0
30,1,Yes,Sports Car,No,Highly Urban/ Urban,1.0,0,1,16,2,1.0
31,0,Yes,SUV,No,Highly Rural/ Rural,15.0,2,9,27,0,1.0
32,1,Yes,SUV,No,Highly Urban/ Urban,1.0,0,1,26,2,1.0
33,0,Yes,Minivan,No,Highly Urban/ Urban,12.0,0,17,16,0,1.0
34,0,No,SUV,No,Highly Urban/ Urban,12.0,3,6,26,0,1.0
35,0,Yes,SUV,Yes,Highly Rural/ Rural,12.0,4,6,15,0,1.0
37,0,Yes,Minivan,No,Highly Urban/ Urban,1.0,1,1,30,0,1.0
38,0,No,Minivan,No,Highly Rural/ Rural,9.0,0,4,5,0,1.0
39,0,Yes,SUV,No,Highly Urban/ Urban,10.0,1,4,37,0,1.0
40,0,No,Panel Truck,No,Highly Urban/ Urban,15.0,5,6,12,0,1.0
41,0,Yes,Van,No,Highly Urban/ Urban,13.0,0,4,38,0,1.0
42,0,Yes,Minivan,No,Highly Rural/ Rural,12.0,0,1,65,0,0.213
43,0,No,Minivan,No,Highly Urban/ Urban,14.0,0,1,18,0,1.0
44,0,Yes,SUV,No,Highly Rural/ Rural,9.0,2,1,47,0,1.0
45,0,Yes,Van,No,Highly Urban/ Urban,15.0,0,6,38,0,1.0
46,0,No,Sports Car,No,Highly Urban/ Urban,1.0,3,4,22,0,1.0
47,0,Yes,SUV,No,Highly Urban/ Urban,11.0,0,1,10,0,1.0
48,0,No,SUV,No,Highly Rural/ Rural,6.0,1,1,48,0,1.0
49,0,Yes,Pickup,No,Highly Urban/ Urban,7.0,0,1,22,0,0.537
50,0,Yes,Sports Car,No,Highly Urban/ Urban,8.0,0,1,40,0,1.0
51,0,No,Minivan,No,Highly Rural/ Rural,1.0,0,4,44,0,1.0
52,0,Yes,Panel Truck,No,Highly Urban/ Urban,5.0,1,4,5,0,1.0
