policy,exposure,num_claims,amt_claims,f_primary_age_tier,f_primary_gender,f_marital,f_residence_location,f_fire_alarm_type,f_mile_fire_station,f_aoi_tier
P00001,1,0,0.00,21 - 27,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
G00002,1,0,0.00,38 - 60,Male,Un-Married,Suburban,None,1 - 5 miles,< 100K
A00003,1,2,"3,079.01",38 - 60,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
P00004,1,1,804.87,28 - 37,Female,Un-Married,Suburban,Standalone,1 - 5 miles,< 100K
G00005,1,1,638.74,28 - 37,Female,Un-Married,Suburban,Alarm Service,< 1 mile,100K - 350K
G00006,0.95,0,0.00,28 - 37,Female,Un-Married,Suburban,Alarm Service,< 1 mile,< 100K
Z00007,1,0,0.00,> 60,Female,Not Married,Urban,Alarm Service,< 1 mile,351K - 600K
A00008,0.44,1,"1,135.80",28 - 37,Male,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
P00009,1,0,0.00,38 - 60,Female,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
G00010,1,0,0.00,38 - 60,Female,Un-Married,Rural,Standalone,> 10 miles,< 100K
A00011,1,0,0.00,21 - 27,Female,Married,Urban,Standalone,< 1 mile,100K - 350K
G00012,1,0,0.00,38 - 60,Male,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
Z00013,0.31,2,"2,123.90",28 - 37,Female,Married,Suburban,Standalone,6 - 10 miles,100K - 350K
G00014,1,1,525.64,21 - 27,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
A00015,1,0,0.00,38 - 60,Male,Un-Married,Rural,Standalone,6 - 10 miles,100K - 350K
A00016,1,0,0.00,28 - 37,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
G00017,1,0,0.00,38 - 60,Female,Un-Married,Urban,None,< 1 mile,100K - 350K
A00018,0.81,0,0.00,28 - 37,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
G00019,1,0,0.00,38 - 60,Female,Not Married,Suburban,Alarm Service,< 1 mile,100K - 350K
Z00020,1,0,0.00,28 - 37,Male,Not Married,Urban,Standalone,1 - 5 miles,351K - 600K
G00021,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
G00022,0.6,0,0.00,38 - 60,Female,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
P00023,1,3,"2,266.35",< 21,Male,Un-Married,Urban,Standalone,1 - 5 miles,351K - 600K
Z00024,1,1,"1,754.32",28 - 37,Female,Married,Suburban,Standalone,1 - 5 miles,100K - 350K
A00025,1,3,"4,456.24",21 - 27,Male,Married,Rural,Standalone,> 10 miles,601K - 1M
P00026,1,1,"3,080.99",> 60,Female,Not Married,Urban,Standalone,< 1 mile,351K - 600K
G00027,0.5,2,"1,385.26",28 - 37,Female,Un-Married,Urban,Standalone,< 1 mile,< 100K
P00028,1,1,"1,180.00",28 - 37,Female,Married,Suburban,Standalone,6 - 10 miles,100K - 350K
Z00029,1,0,0.00,21 - 27,Male,Married,Urban,Alarm Service,< 1 mile,< 100K
G00030,1,0,0.00,38 - 60,Male,Married,Suburban,Alarm Service,1 - 5 miles,> 1M
A00031,1,1,186.95,28 - 37,Female,Un-Married,Suburban,Alarm Service,< 1 mile,601K - 1M
Z00032,0.19,0,0.00,21 - 27,Male,Not Married,Suburban,Alarm Service,< 1 mile,351K - 600K
G00033,1,1,"1,503.38",21 - 27,Male,Married,Suburban,None,< 1 mile,601K - 1M
P00034,1,1,"1,941.47",28 - 37,Female,Not Married,Urban,Standalone,1 - 5 miles,351K - 600K
A00035,1,0,0.00,38 - 60,Female,Un-Married,Urban,Standalone,< 1 mile,601K - 1M
Z00036,1,1,526.77,> 60,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
P00037,0.93,0,0.00,< 21,Female,Married,Urban,None,< 1 mile,351K - 600K
P00038,1,3,"4,685.31",21 - 27,Male,Married,Suburban,None,1 - 5 miles,601K - 1M
A00039,1,1,"1,790.17",< 21,Female,Married,Urban,Standalone,< 1 mile,< 100K
P00040,1,1,272.07,21 - 27,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
P00041,1,1,778.52,28 - 37,Female,Not Married,Urban,Standalone,< 1 mile,601K - 1M
Z00042,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
A00043,1,1,710.09,28 - 37,Female,Married,Urban,None,< 1 mile,100K - 350K
P00044,1,1,"2,182.37",28 - 37,Male,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
Z00045,1,0,0.00,28 - 37,Female,Not Married,Rural,Alarm Service,1 - 5 miles,100K - 350K
P00046,1,2,"8,565.47",21 - 27,Female,Married,Suburban,None,1 - 5 miles,351K - 600K
P00047,1,1,871.73,28 - 37,Female,Not Married,Rural,Standalone,6 - 10 miles,< 100K
Z00048,0.64,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,< 1 mile,601K - 1M
G00049,1,0,0.00,38 - 60,Male,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P00050,1,1,"2,723.06",38 - 60,Female,Married,Urban,None,< 1 mile,601K - 1M
G00051,0.16,2,"3,402.73",28 - 37,Male,Married,Suburban,Standalone,1 - 5 miles,601K - 1M
A00052,1,0,0.00,< 21,Female,Married,Suburban,Standalone,< 1 mile,601K - 1M
Z00053,1,0,0.00,38 - 60,Male,Un-Married,Rural,Standalone,6 - 10 miles,351K - 600K
P00054,1,0,0.00,28 - 37,Male,Married,Suburban,None,< 1 mile,100K - 350K
P00055,1,0,0.00,21 - 27,Female,Un-Married,Rural,None,6 - 10 miles,351K - 600K
G00056,1,0,0.00,28 - 37,Male,Married,Urban,Alarm Service,< 1 mile,601K - 1M
G00057,1,1,987.87,38 - 60,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
A00058,1,0,0.00,28 - 37,Male,Not Married,Urban,Alarm Service,< 1 mile,351K - 600K
A00059,1,1,"2,523.29",21 - 27,Female,Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
Z00060,1,0,0.00,21 - 27,Male,Married,Suburban,Alarm Service,< 1 mile,601K - 1M
P00061,1,1,626.05,> 60,Male,Married,Urban,Alarm Service,< 1 mile,100K - 350K
A00062,1,0,0.00,38 - 60,Female,Not Married,Urban,Standalone,< 1 mile,601K - 1M
G00063,0.46,1,654.72,< 21,Male,Not Married,Urban,Standalone,< 1 mile,601K - 1M
Z00064,1,1,"1,185.92",< 21,Male,Not Married,Suburban,Standalone,< 1 mile,601K - 1M
Z00065,1,0,0.00,28 - 37,Female,Not Married,Urban,Alarm Service,< 1 mile,< 100K
A00066,1,1,756.89,38 - 60,Female,Married,Urban,None,< 1 mile,100K - 350K
P00067,1,0,0.00,< 21,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
Z00068,1,1,467.76,21 - 27,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
A00069,1,0,0.00,38 - 60,Male,Married,Rural,Standalone,> 10 miles,351K - 600K
G00070,1,0,0.00,< 21,Male,Married,Urban,None,< 1 mile,100K - 350K
Z00071,1,1,792.05,38 - 60,Male,Married,Urban,Alarm Service,< 1 mile,100K - 350K
P00072,1,2,"2,677.58",> 60,Female,Married,Urban,None,< 1 mile,351K - 600K
A00073,1,2,"4,035.33",21 - 27,Male,Not Married,Suburban,None,< 1 mile,601K - 1M
A00074,1,1,"1,394.99",21 - 27,Female,Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
A00075,1,2,"4,488.34",28 - 37,Male,Un-Married,Urban,None,< 1 mile,351K - 600K
Z00076,1,0,0.00,> 60,Female,Un-Married,Urban,None,< 1 mile,351K - 600K
P00077,1,1,478.36,38 - 60,Female,Un-Married,Urban,Standalone,6 - 10 miles,< 100K
P00078,1,1,"1,780.70",28 - 37,Male,Not Married,Urban,Standalone,1 - 5 miles,601K - 1M
Z00079,1,0,0.00,21 - 27,Male,Married,Urban,Alarm Service,< 1 mile,< 100K
Z00080,1,1,563.29,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
P00081,1,0,0.00,28 - 37,Female,Not Married,Urban,Standalone,< 1 mile,< 100K
Z00082,1,0,0.00,38 - 60,Female,Married,Rural,Standalone,> 10 miles,100K - 350K
G00083,1,0,0.00,38 - 60,Female,Married,Suburban,Standalone,< 1 mile,601K - 1M
A00084,1,1,"1,167.29",21 - 27,Female,Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
P00085,0.44,1,"1,124.64",28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
G00086,1,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
G00087,1,0,0.00,28 - 37,Female,Not Married,Urban,Alarm Service,< 1 mile,351K - 600K
A00088,1,0,0.00,< 21,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
P00089,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
G00090,1,0,0.00,> 60,Male,Un-Married,Rural,Standalone,1 - 5 miles,351K - 600K
Z00091,1,1,"1,019.40",< 21,Male,Un-Married,Suburban,Standalone,1 - 5 miles,601K - 1M
G00092,1,0,0.00,38 - 60,Female,Married,Urban,Standalone,1 - 5 miles,601K - 1M
A00093,1,1,782.53,21 - 27,Male,Not Married,Urban,Standalone,1 - 5 miles,601K - 1M
G00094,1,0,0.00,< 21,Male,Not Married,Urban,None,< 1 mile,351K - 600K
Z00095,1,0,0.00,> 60,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
A00096,1,0,0.00,28 - 37,Female,Married,Urban,Standalone,1 - 5 miles,100K - 350K
P00097,1,1,"1,530.19",< 21,Male,Married,Rural,Standalone,1 - 5 miles,100K - 350K
Z00098,1,0,0.00,> 60,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
G00099,1,2,"1,306.94",< 21,Male,Married,Urban,Standalone,6 - 10 miles,601K - 1M
G00100,1,0,0.00,< 21,Female,Married,Suburban,Standalone,< 1 mile,601K - 1M
P00101,1,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,1 - 5 miles,601K - 1M
P00102,1,1,"2,937.39",28 - 37,Male,Not Married,Suburban,Alarm Service,< 1 mile,100K - 350K
Z00103,1,0,0.00,21 - 27,Female,Married,Suburban,None,< 1 mile,351K - 600K
P00104,1,0,0.00,38 - 60,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
A00105,1,1,"1,776.24",21 - 27,Female,Married,Rural,Standalone,6 - 10 miles,100K - 350K
A00106,1,0,0.00,21 - 27,Female,Married,Urban,Alarm Service,1 - 5 miles,601K - 1M
A00107,1,0,0.00,28 - 37,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
P00108,1,0,0.00,38 - 60,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
G00109,1,1,"1,300.65",28 - 37,Male,Married,Suburban,Standalone,< 1 mile,601K - 1M
A00110,1,0,0.00,21 - 27,Male,Not Married,Urban,Alarm Service,< 1 mile,100K - 350K
A00111,1,2,"1,702.29",> 60,Male,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
Z00112,1,0,0.00,21 - 27,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
P00113,1,0,0.00,21 - 27,Male,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
P00114,1,0,0.00,38 - 60,Female,Not Married,Suburban,Standalone,1 - 5 miles,351K - 600K
G00115,0.69,0,0.00,21 - 27,Female,Not Married,Suburban,Standalone,< 1 mile,601K - 1M
G00116,1,2,"3,278.52",21 - 27,Male,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
Z00117,0.13,0,0.00,38 - 60,Male,Un-Married,Urban,Alarm Service,< 1 mile,351K - 600K
G00118,0.29,1,"2,198.22",21 - 27,Female,Not Married,Urban,Standalone,< 1 mile,351K - 600K
A00119,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
Z00120,0.69,1,625.81,> 60,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
G00121,1,3,"2,907.22",28 - 37,Male,Not Married,Rural,None,> 10 miles,100K - 350K
P00122,1,0,0.00,21 - 27,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
A00123,0.18,0,0.00,21 - 27,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
Z00124,0.43,0,0.00,38 - 60,Female,Un-Married,Rural,Alarm Service,6 - 10 miles,351K - 600K
Z00125,1,1,60.87,28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
Z00126,0.79,0,0.00,38 - 60,Female,Not Married,Urban,None,1 - 5 miles,< 100K
A00127,0.19,0,0.00,38 - 60,Female,Married,Urban,None,< 1 mile,351K - 600K
P00128,1,1,"1,143.72",21 - 27,Female,Un-Married,Urban,Standalone,1 - 5 miles,601K - 1M
P00129,0.28,2,"2,019.26",38 - 60,Female,Married,Suburban,Standalone,1 - 5 miles,100K - 350K
P00130,0.99,0,0.00,< 21,Female,Married,Urban,None,6 - 10 miles,< 100K
G00131,0.46,1,"1,081.64",21 - 27,Female,Un-Married,Suburban,Alarm Service,< 1 mile,< 100K
Z00132,1,1,529.96,21 - 27,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
P00133,0.16,0,0.00,38 - 60,Female,Not Married,Suburban,None,< 1 mile,351K - 600K
P00134,1,2,"2,775.36",21 - 27,Female,Not Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P00135,0.11,1,"1,812.76",28 - 37,Male,Married,Urban,None,< 1 mile,351K - 600K
A00136,1,1,"2,951.56",21 - 27,Female,Un-Married,Urban,Standalone,< 1 mile,601K - 1M
P00137,1,0,0.00,> 60,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
Z00138,0.8,0,0.00,21 - 27,Female,Not Married,Urban,Standalone,1 - 5 miles,100K - 350K
G00139,1,1,551.48,28 - 37,Male,Un-Married,Urban,Alarm Service,< 1 mile,351K - 600K
G00140,0.98,0,0.00,> 60,Male,Not Married,Suburban,Alarm Service,< 1 mile,351K - 600K
G00141,1,0,0.00,21 - 27,Male,Un-Married,Urban,Standalone,< 1 mile,601K - 1M
P00142,1,0,0.00,21 - 27,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
Z00143,1,1,584.65,28 - 37,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
A00144,1,2,"2,478.08",> 60,Female,Not Married,Urban,Standalone,< 1 mile,< 100K
P00145,1,0,0.00,38 - 60,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
G00146,1,1,"1,833.98",28 - 37,Male,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P00147,1,1,"2,493.11",28 - 37,Female,Married,Urban,Standalone,< 1 mile,< 100K
Z00148,1,0,0.00,38 - 60,Female,Married,Urban,Alarm Service,< 1 mile,601K - 1M
G00149,1,0,0.00,28 - 37,Female,Married,Rural,Standalone,> 10 miles,> 1M
A00150,1,1,659.61,< 21,Male,Married,Suburban,Alarm Service,1 - 5 miles,100K - 350K
G00151,1,1,"1,267.66",38 - 60,Male,Un-Married,Urban,None,< 1 mile,351K - 600K
P00152,1,0,0.00,> 60,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
A00153,1,3,"4,317.03",28 - 37,Male,Un-Married,Urban,None,< 1 mile,601K - 1M
G00154,1,0,0.00,38 - 60,Female,Not Married,Urban,Alarm Service,< 1 mile,> 1M
G00155,1,0,0.00,38 - 60,Female,Married,Urban,None,< 1 mile,100K - 350K
P00156,1,0,0.00,38 - 60,Female,Married,Urban,Standalone,1 - 5 miles,601K - 1M
A00157,1,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
Z00158,1,1,"1,341.57",28 - 37,Male,Married,Rural,Standalone,> 10 miles,100K - 350K
A00159,1,2,"2,251.40",28 - 37,Female,Married,Suburban,Alarm Service,6 - 10 miles,601K - 1M
A00160,1,1,"1,341.86",21 - 27,Female,Not Married,Urban,None,< 1 mile,351K - 600K
A00161,1,0,0.00,28 - 37,Male,Married,Urban,None,< 1 mile,100K - 350K
A00162,0.2,1,"1,634.37",28 - 37,Female,Married,Urban,Alarm Service,< 1 mile,601K - 1M
A00163,1,0,0.00,28 - 37,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
P00164,1,4,"3,583.18",38 - 60,Male,Un-Married,Suburban,None,1 - 5 miles,351K - 600K
P00165,1,2,"3,817.82",< 21,Male,Un-Married,Urban,None,< 1 mile,601K - 1M
Z00166,1,0,0.00,28 - 37,Male,Un-Married,Suburban,None,< 1 mile,601K - 1M
Z00167,1,1,"1,299.00",21 - 27,Male,Un-Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
Z00168,1,0,0.00,21 - 27,Male,Un-Married,Suburban,None,1 - 5 miles,351K - 600K
P00169,1,1,722.44,< 21,Female,Un-Married,Urban,Standalone,< 1 mile,100K - 350K
G00170,1,2,"1,996.71",< 21,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
A00171,1,1,"1,263.12",28 - 37,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
A00172,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
Z00173,1,0,0.00,38 - 60,Female,Un-Married,Urban,Alarm Service,< 1 mile,100K - 350K
Z00174,1,0,0.00,38 - 60,Male,Married,Suburban,Standalone,< 1 mile,100K - 350K
A00175,1,1,554.70,28 - 37,Female,Married,Urban,Standalone,< 1 mile,601K - 1M
P00176,1,0,0.00,21 - 27,Male,Married,Suburban,Standalone,< 1 mile,< 100K
Z00177,1,1,"1,401.89",38 - 60,Female,Un-Married,Suburban,Standalone,< 1 mile,601K - 1M
P00178,1,0,0.00,21 - 27,Male,Married,Urban,Standalone,1 - 5 miles,351K - 600K
A00179,0.65,0,0.00,< 21,Male,Married,Urban,Alarm Service,< 1 mile,> 1M
A00180,1,1,315.13,< 21,Female,Married,Urban,Alarm Service,< 1 mile,> 1M
Z00181,0.83,1,"4,051.41",> 60,Female,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
A00182,1,1,"2,469.61",21 - 27,Male,Not Married,Urban,Standalone,1 - 5 miles,601K - 1M
G00183,1,2,"3,561.48",< 21,Male,Not Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
A00184,1,0,0.00,38 - 60,Female,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
P00185,1,1,944.84,38 - 60,Female,Married,Suburban,Standalone,6 - 10 miles,100K - 350K
P00186,1,0,0.00,28 - 37,Female,Not Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P00187,1,0,0.00,38 - 60,Female,Married,Urban,Standalone,1 - 5 miles,351K - 600K
G00188,0.86,1,"3,339.28",> 60,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
Z00189,0.79,1,"1,907.86",28 - 37,Female,Married,Urban,None,< 1 mile,601K - 1M
Z00190,1,1,690.72,28 - 37,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
P00191,0.61,0,0.00,38 - 60,Female,Un-Married,Suburban,Alarm Service,< 1 mile,> 1M
Z00192,1,1,936.36,21 - 27,Female,Married,Urban,Standalone,< 1 mile,601K - 1M
G00193,1,2,"1,345.86",38 - 60,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
P00194,0.12,1,"1,386.66",21 - 27,Female,Married,Urban,None,< 1 mile,351K - 600K
G00195,0.8,0,0.00,> 60,Female,Not Married,Suburban,Alarm Service,1 - 5 miles,> 1M
A00196,1,0,0.00,21 - 27,Female,Married,Urban,Alarm Service,< 1 mile,601K - 1M
Z00197,0.2,0,0.00,21 - 27,Male,Un-Married,Suburban,None,< 1 mile,351K - 600K
Z00198,1,0,0.00,28 - 37,Female,Not Married,Urban,None,< 1 mile,601K - 1M
A00199,1,1,"1,484.03",38 - 60,Male,Un-Married,Suburban,Alarm Service,< 1 mile,601K - 1M
G00200,1,1,"1,632.07",38 - 60,Male,Married,Suburban,Standalone,< 1 mile,601K - 1M
G00201,1,0,0.00,38 - 60,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
A00202,0.93,0,0.00,38 - 60,Male,Un-Married,Urban,Alarm Service,< 1 mile,100K - 350K
P00203,1,0,0.00,21 - 27,Female,Married,Urban,Alarm Service,1 - 5 miles,100K - 350K
G00204,1,0,0.00,38 - 60,Female,Married,Suburban,None,1 - 5 miles,100K - 350K
Z00205,1,1,454.81,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
A00206,1,1,"1,164.73",21 - 27,Female,Married,Suburban,None,< 1 mile,> 1M
Z00207,1,0,0.00,21 - 27,Female,Married,Urban,Alarm Service,< 1 mile,< 100K
G00208,1,0,0.00,> 60,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
P00209,1,1,785.09,38 - 60,Female,Un-Married,Suburban,None,< 1 mile,100K - 350K
G00210,0.22,1,"2,154.83",38 - 60,Female,Un-Married,Urban,None,1 - 5 miles,< 100K
Z00211,1,1,332.38,28 - 37,Female,Married,Rural,Standalone,6 - 10 miles,< 100K
A00212,0.98,0,0.00,38 - 60,Female,Un-Married,Urban,Alarm Service,< 1 mile,601K - 1M
A00213,1,0,0.00,38 - 60,Female,Married,Suburban,None,1 - 5 miles,601K - 1M
A00214,1,1,283.06,28 - 37,Male,Married,Rural,None,1 - 5 miles,100K - 350K
G00215,1,0,0.00,28 - 37,Male,Not Married,Rural,Standalone,6 - 10 miles,351K - 600K
P00216,1,1,"1,344.08",38 - 60,Female,Un-Married,Suburban,Standalone,1 - 5 miles,351K - 600K
Z00217,1,0,0.00,21 - 27,Male,Un-Married,Suburban,Standalone,6 - 10 miles,< 100K
G00218,1,0,0.00,38 - 60,Male,Married,Suburban,Standalone,< 1 mile,< 100K
P00219,1,1,467.04,< 21,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
P00220,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,1 - 5 miles,601K - 1M
A00221,1,2,"2,352.04",21 - 27,Female,Not Married,Urban,Standalone,< 1 mile,< 100K
G00222,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
Z00223,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
Z00224,1,1,165.41,28 - 37,Female,Married,Urban,Standalone,1 - 5 miles,351K - 600K
G00225,1,0,0.00,28 - 37,Male,Not Married,Urban,Standalone,< 1 mile,100K - 350K
Z00226,1,1,"1,308.48",21 - 27,Male,Not Married,Urban,Alarm Service,< 1 mile,601K - 1M
G00227,1,1,790.84,21 - 27,Female,Un-Married,Urban,None,< 1 mile,351K - 600K
A00228,1,0,0.00,38 - 60,Male,Married,Urban,Alarm Service,< 1 mile,100K - 350K
P00229,1,0,0.00,38 - 60,Female,Married,Urban,None,< 1 mile,601K - 1M
G00230,1,1,"2,162.06",> 60,Male,Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
P00231,1,0,0.00,28 - 37,Female,Not Married,Suburban,Standalone,< 1 mile,601K - 1M
A00232,1,0,0.00,38 - 60,Female,Married,Urban,Alarm Service,< 1 mile,351K - 600K
A00233,1,0,0.00,38 - 60,Male,Not Married,Urban,Alarm Service,< 1 mile,601K - 1M
A00234,1,2,635.55,21 - 27,Male,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
