,Name,DF,Estimate,Exp(Estimate)
0,Intercept,1,8.013644933136568,3021.9117295875176
1,f_primary_age_tier_21 - 27,1,0.3548205199539303,1.4259247062814124
2,f_primary_age_tier_28 - 37,1,-0.08889169771821334,0.9149446588030339
3,f_primary_age_tier_38 - 60,1,-0.7647543385458703,0.465448259626949
4,f_primary_age_tier_< 21,1,0.13907747524851868,1.1492131321276802
5,f_primary_age_tier_> 60,0,0.0,1.0
6,f_primary_gender_Female,1,-0.02961796622725909,0.9708163473441159
7,f_primary_gender_Male,0,0.0,1.0
8,f_marital_Married,1,-0.010076196855967903,0.9899743979386071
9,f_marital_Not Married,1,0.06072347091072792,1.0626050323537775
10,f_marital_Un-Married,0,0.0,1.0
11,f_residence_location_Rural,1,-0.2790005497254199,0.7565394873259458
12,f_residence_location_Suburban,1,0.12257370319188256,1.1304024312711192
13,f_residence_location_Urban,0,0.0,1.0
14,f_fire_alarm_type_Alarm Service,1,-0.34910512734096744,0.7053189780636129
15,f_fire_alarm_type_None,1,0.15903246067841534,1.1723760021834493
16,f_fire_alarm_type_Standalone,0,0.0,1.0
17,f_mile_fire_station_1 - 5 miles,1,-0.35395373069884667,0.701907443370946
18,f_mile_fire_station_6 - 10 miles,1,-0.1087036726090651,0.8969961826580282
19,f_mile_fire_station_< 1 mile,1,-0.7266612632636805,0.4835206462897432
20,f_mile_fire_station_> 10 miles,0,0.0,1.0
21,f_aoi_tier_100K - 350K,1,-0.5443254330736631,0.5802330573848234
22,f_aoi_tier_351K - 600K,1,-0.4241904885311785,0.6542992335372452
23,f_aoi_tier_601K - 1M,1,-0.2251770308872158,0.7983748692366988
24,f_aoi_tier_< 100K,1,-0.7780550842822856,0.4592984399296195
25,f_aoi_tier_> 1M,0,0.0,1.0
