count,mean,var
CLM_AMT,CLM_AMT,CLM_AMT
1,0.0,
1,0.0,
348,1054.0488505747126,10371205.205099544
1,0.0,
1,0.0,
53,3402.9622641509436,109361155.46008705
16,961.4375,4574504.129166666
62,1358.983870967742,4603690.180063458
27,3200.037037037037,51695819.80626781
17,4944.470588235294,94383005.26470587
34,612.6470588235294,1999680.174688057
7,379.85714285714283,1010040.1428571427
14,1600.5714285714287,4020967.956043956
4,677.25,1506304.9166666667
8,666.625,1596627.6964285714
3,0.0,0.0
2,0.0,0.0
1,0.0,
1,0.0,
1,0.0,
8,0.0,0.0
1,0.0,
2,0.0,0.0
1,0.0,
24,690.4583333333334,7407262.954710144
5,2103.0,4890503.0
2,1372.5,3767512.5
2,3440.0,23667200.0
1,2446.0,
1,0.0,
1,0.0,
58,663.3793103448276,2793377.15184513
6,0.0,0.0
1,0.0,
9,580.7777777777778,1048084.4444444445
6,2798.0,7013696.8
4,1883.25,6110280.916666667
6,922.1666666666666,1864417.7666666664
1,3514.0,
1,1418.0,
4,2753.5,12882020.333333336
80,1485.975,34771143.1892405
14,605.3571428571429,2775378.7087912085
5,1553.0,12059045.0
12,7532.333333333333,497054002.2424242
5,0.0,0.0
6,0.0,0.0
11,3277.3636363636365,46146460.254545465
3,1714.3333333333333,8816816.333333334
2,1948.5,7593304.5
2,0.0,0.0
1,0.0,
1,0.0,
104,622.2019230769231,2925140.99766617
14,935.5714285714286,3649987.802197802
1,0.0,
9,1281.7777777777778,4020155.4444444445
5,0.0,0.0
5,1373.8,4955823.2
8,281.875,635628.125
4,631.0,1592643.9999999998
1,16678.0,
1,6023.0,
121,1229.01652892562,17733460.59972452
13,724.0769230769231,3361286.076923076
5,8620.4,116642320.3
9,0.0,0.0
8,1543.5,4704368.0
6,1155.3333333333333,8008770.666666667
11,281.09090909090907,869133.0909090908
2,1742.0,1847042.0
2,0.0,0.0
1,2972.0,
6,2779.8333333333335,9835611.766666666
1,0.0,
110,725.7,4851304.413761467
1,4638.0,
12,497.25,1585590.7500000002
4,912.75,3332450.25
21,882.0,3079693.1
5,1667.0,4702404.0
7,1153.4285714285713,5529051.285714286
5,990.6,4906441.8
3,0.0,0.0
4,722.0,2085136.0
4,5894.0,81855382.0
116,581.7758620689655,6360424.366716636
1,0.0,
14,1216.857142857143,6446971.20879121
6,661.8333333333334,2628140.166666667
16,1395.375,5022086.383333334
5,1772.2,6292450.199999999
3,0.0,0.0
7,915.5714285714286,5867897.2857142845
2,0.0,0.0
2,0.0,0.0
1,4953.0,
124,230.2741935483871,892857.4201416206
9,0.0,0.0
5,2155.8,9256374.200000001
8,0.0,0.0
5,1140.6,2554755.8
3,0.0,0.0
3,1187.3333333333333,4229281.333333334
2,0.0,0.0
1,0.0,
2,0.0,0.0
99,762.040404040404,8147082.67182024
3,0.0,0.0
2,3721.5,27699124.5
4,0.0,0.0
7,1730.857142857143,3578271.142857143
1,0.0,
8,990.375,5853533.696428572
1,0.0,
1,0.0,
2,0.0,0.0
84,348.20238095238096,1520083.1031267932
1,0.0,
6,0.0,0.0
9,632.6666666666666,2845054.0
5,2507.2,31430259.2
3,0.0,0.0
2,1489.5,4437220.5
2,0.0,0.0
1,14585.0,
1,2493.0,
80,421.8875,2029224.4302215194
3,0.0,0.0
2,0.0,0.0
5,0.0,0.0
2,0.0,0.0
2,2452.5,12029512.5
4,407.75,665040.2500000001
2,0.0,0.0
1,0.0,
1,313.0,
98,261.5612244897959,864103.6920892068
1,0.0,
5,0.0,0.0
5,2410.8,12617931.2
4,0.0,0.0
2,0.0,0.0
1,0.0,
2,307.5,189112.5
71,247.8450704225352,955165.3899396381
9,448.0,1806336.0
1,5453.0,
5,1137.8,6472944.2
2,0.0,0.0
1,15196.0,
2,3055.5,18672160.5
2,0.0,0.0
60,306.18333333333334,1398588.0844632771
5,2185.0,6535211.5
2,0.0,0.0
4,916.5,3359889.0
2,0.0,0.0
3,0.0,0.0
1,0.0,
1,4206.0,
40,243.55,1358179.741025641
2,0.0,0.0
4,0.0,0.0
1,0.0,
1,0.0,
1,15721.0,
1,0.0,
1,28706.0,
33,96.75757575757575,308946.93939393945
2,0.0,0.0
1,0.0,
2,0.0,0.0
2,0.0,0.0
1,0.0,
20,480.75,1867141.5657894737
3,388.3333333333333,452408.3333333334
1,0.0,
1,0.0,
11,0.0,0.0
2,0.0,0.0
1,0.0,
1,0.0,
3,0.0,0.0
10,302.2,913248.4000000001
5,0.0,0.0
1,0.0,
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
1,0.0,
3,0.0,0.0
104,2303.8365384615386,28840219.361370426
11,2500.6363636363635,36230276.45454545
3,3182.0,15063132.0
7,7306.285714285715,294593804.90476185
2,4061.0,1438208.0
2,2379.5,7178260.5
5,3443.6,12063565.3
3,4591.0,63231843.0
1,3498.0,
1,5359.0,
1,0.0,
1,3668.0,
1,0.0,
1,0.0,
1,6145.0,
1,0.0,
1,0.0,
1,4878.0,
4,1431.25,8193906.25
1,5273.0,
16,263.25,1108809.0
6,5127.5,108178110.3
2,3264.0,21307392.0
2,726.5,1055604.5
21,453.42857142857144,1471316.1571428569
2,0.0,0.0
2,3669.0,26923122.0
1,0.0,
4,0.0,0.0
2,0.0,0.0
24,1360.1666666666667,5816347.275362318
1,0.0,
3,0.0,0.0
3,0.0,0.0
2,6905.0,95358050.0
1,3979.0,
2,0.0,0.0
41,839.219512195122,3183655.5756097557
6,2726.5,2528817.1
3,1336.3333333333333,1434512.3333333335
2,0.0,0.0
1,3905.0,
2,0.0,0.0
1,34992.0,
37,1301.8918918918919,8102550.0990991
3,1725.6666666666667,8933776.333333332
1,0.0,
